id,name,country,province,province_code,postcode_area,type,map_reference,latitude,longitude,census_division,area_code,time_zone
25284,Talbot,Lac-Saint-Jean-Est,Quebec,QC,G8B,Locality,022D12,48.57556,-71.62444,Lac-Saint-Jean-Est,581,America/Montreal
25285,Talbotville Royal,Elgin,Ontario,ON,N5P,Locality,040I14,42.80323,-81.25250,Elgin,519,America/Toronto
25286,Talcville,,Newfoundland and Labrador,NL,A1W,Locality,001N10,47.51111,-52.96167,Division No.  1,709,America/St_Johns
25287,Tallheo,Central Coast,British Columbia,BC,V0T,Locality,093D07,52.38333,-126.83333,Central Coast,250,America/Vancouver
25288,Tallman,,Saskatchewan,SK,S0J,Locality,073B15,52.80005,-106.96726,Division No. 16,306,America/Regina
25289,Tall Pines,,Saskatchewan,SK,S0E,Locality,063D07,52.34999,-102.65048,Division No. 14,306,America/Regina
25290,Talmage,,Saskatchewan,SK,S0C,Locality,062E13,49.78336,-103.66721,Division No.  2,306,America/Regina
25291,Talon,Le Haut-Richelieu,Quebec,QC,J2W,Locality,031H06,45.35583,-73.27028,Le Haut-Richelieu,450,America/Montreal
25292,Talon,Gatineau,Quebec,QC,J8T,Locality,031G05,45.47833,-75.70139,Gatineau,819,America/Montreal
25293,Taloyoak,Kitikmeot,Nunavut,NU,X0B,Hamlet,057C10,69.53611,-93.52083,Kitikmeot,204,America/Cambridge_Bay
25294,Tamarac Estates,Peel,Ontario,ON,L7K,Locality,040P16,43.93444,-80.00167,Peel,289,America/Toronto
25295,Tamarack,Peace River,British Columbia,BC,V0C,Locality,094H11,57.65000,-121.16667,Peace River,250,America/Dawson_Creek
25296,Tamarisk,Squamish-Lillooet,British Columbia,BC,V0N,Locality,092J03,50.10000,-123.01667,Squamish-Lillooet,604,America/Vancouver
25297,Tam O'Shanter,Toronto,Ontario,ON,M1T,Locality,030M14,43.77722,-79.29750,Toronto,416,America/Toronto
