id,name,ascii,alt_name,lat,long,feat_class,feat_code,country,cc2,admin1,admin2,admin3,admin4,population,elevation,dem,tz,modified_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5881791,Abbotsford,Abbotsford,Abbotsford,YXX,Абботсфорд,49.05798,-122.25257,P,PPL,CA,,2,5957659,,,151683,,114,America/Vancouver,2013-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5882142,Acton Vale,Acton Vale,,45.65007,-72.56582,P,PPL,CA,,10,16,,,5135,,90,America/Montreal,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5882799,Airdrie,Airdrie,Erdri,ai er de li,ayrdray,ayrdry,eeodeuli,Ердри,إيردراي,ائرڈرائ,ایردری,艾尔德里,에어드리,51.30011,-114.03528,P,PPL,CA,,1,,,,24673,,1086,America/Edmonton,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6104111,Pickering,Pickering,Pikering,bykryngh, awntaryw,pikaringu,pkrng,Пикеринг,Пікерінг,بيكرينغ، أونتاريو,پکرنگ,ピカリング,43.90012,-79.13289,P,PPL,CA,,8,,,,87838,,214,America/Toronto,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6104876,Pincourt,Pincourt,,45.38338,-73.9825,P,PPL,CA,,10,16,,,11197,,27,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6105815,Pitt Meadows,Pitt Meadows,Pitt Meadows,Pitt-Medous,Pitts Meadows,Питт-Медоус,49.22119,-122.68965,P,PPL,CA,,2,,,,17410,,13,America/Vancouver,2010-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6107325,Pointe-Claire,Pointe-Claire,,45.44868,-73.81669,P,PPL,CA,,10,6,,,30161,,45,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6109273,Ponoka,Ponoka,,52.6768,-113.58147,P,PPL,CA,,1,,,,6656,,806,America/Edmonton,2010-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6110611,Pont Rouge,Pont Rouge,,48.88332,-72.08247,P,PPL,CA,,10,,,,7518,,135,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111529,Portage la Prairie,Portage la Prairie,Portage la Prairie,Portedzh-la-Preri,Portidz la Preri,Portidzh-la-Preri,YPG,prtagy la prayry,Портедж-ла-Прері,Портидж-ла-Прери,Портиџ ла Прери,پرتاگی لا پرائری,پورٹیج لا پریری، مینی ٹوبا,49.97282,-98.29263,P,PPL,CA,,3,,,,12957,,263,America/Winnipeg,2013-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111632,Port Alberni,Port Alberni,Port Alberni,YPB,ai bo ni gang,bwrt albyrny, kwlwmbya albrytanyt,Порт Алберни,بورت ألبيرني، كولومبيا البريطانية,پورٹ البرنی,艾伯尼港,49.24133,-124.8028,P,PPL,CA,,2,,,,21282,,22,America/Vancouver,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111696,Port-Cartier,Port-Cartier,,50.03339,-66.86545,P,PPL,CA,,10,9,,,5851,,31,America/Montreal,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111704,Port Colborne,Port Colborne,Port Kolborn,Port-Kolborn,bwrt kwlbwrn, awntaryw,poteukolbon,potokorubon,Порт Колборн,Порт-Колборн,بورت كولبورن، أونتاريو,پورٹ کولبورن,ポートコルボーン,포트콜본,42.90012,-79.23288,P,PPL,CA,,8,,,,18599,,188,America/Toronto,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111962,Port Moody,Port Moody,Port Mudi,bwrt mwdy,man de bao,poteumudi,potomudi,Порт Муди,بورت مودي,پورٹ موڈی,ポートムーディ,滿地寶,포트무디,49.28297,-122.85263,P,PPL,CA,,2,,,,27512,,6,America/Vancouver,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112608,Powell River,Powell River,Pauel River,YPW,bwyl ryfr, kwlwmbya albrytanyt,Пауел Ривер,بويل ريفر، كولومبيا البريطانية,49.87022,-124.54926,P,PPL,CA,,2,5927,,,12779,,40,America/Vancouver,2013-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113198,Prévost,Prevost,,45.86678,-74.08251,P,PPL,CA,,10,15,,,10132,,166,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113335,Prince Albert,Prince Albert,Prince Albert,Prins Albert,Prins-Al'bert,Saskatoon,YPA,bryns albrt, saskatshwan,Принс Алберт,Принс-Альберт,برينس ألبرت، ساسكاتشوان,プリンス・アルバート,53.20008,-105.76772,P,PPL,CA,,11,,,,34609,,431,America/Regina,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113355,Prince Edward,Prince Edward,Prince Edward,Prince Edward County,44.00012,-77.24946,P,PPL,CA,,8,,,,25496,,97,America/Toronto,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113365,Prince George,Prince George,Abbotsford,Prince George,Prins-Dzhordzh,YXS,bryns jwrj, kwlwmbya albrytanyt,peulinseujoji,phrins cxrc,prns jwrj, brytysh klmbya,qiao zhi wang zi cheng,Принс-Джордж,Прінс-Джордж,برينس جورج، كولومبيا البريطانية,پرنس جارج، برٹش کولمبیا,پرنس جورج، بریتیش کلمبیا,พรินซ์จอร์จ,乔治王子城,프린스조지,53.9166,-122.75301,P,PPL,CA,,2,,,,65558,,578,America/Vancouver,2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113406,Prince Rupert,Prince Rupert,Prins Rupert,Prins-Rupert,YPR,bryns rwbyrt, kwlwmbya albrytanyt,lu po te wang zi gang,peulinseulupeoteu,purinsurupato,Принс Руперт,Принс-Руперт,Прінс-Руперт,برينس روبيرت، كولومبيا البريطانية,プリンスルパート,鲁珀特王子港,프린스루퍼트,54.31507,-130.32098,P,PPL,CA,,2,5947,,,14708,,30,America/Vancouver,2013-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113466,Princeville,Princeville,,45.76684,-61.29853,P,PPL,CA,,7,,,,5571,,43,America/Halifax,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115187,Quesnel,Quesnel,Kvenel,YQZ,kynyl, kwlwmbya albrytanyt,Квенел,كينيل، كولومبيا البريطانية,52.97842,-122.4931,P,PPL,CA,,2,,,,13788,,479,America/Vancouver,2012-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115355,Quinte West,Quinte West,,44.18342,-77.56618,P,PPL,CA,,8,,,,42697,,130,America/Toronto,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117611,Rawdon,Rawdon,,46.05007,-73.71587,P,PPL,CA,,10,14,,,10400,,176,America/Montreal,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117731,Rayside-Balfour,Rayside-Balfour,,46.60873,-81.20763,P,PPL,CA,,8,,,,16050,,280,America/Toronto,2013-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118158,Red Deer,Red Deer,Red Deer,Red Dir,Red Dyras,Red-Dir,YQF,hong lu shi,rd dyr,Ред Дир,Ред-Дир,Ред-Дір,رد دير,رد دیر,ریڈ ڈئر,ریڈ ڈئیر,红鹿市,52.26682,-113.802,P,PPL,CA,,1,,,,73593,,856,America/Edmonton,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6119109,Regina,Regina,Gorad Rehdzhajna,Redzaina,Redzajna,Redzhajna,Redzhajnae,Redžaina,Regina,Regina i Saskatchewan,Regino,Rengina,Reĝino,Ridzhajna,Régina,Urbs Reginae,YQR,li gu na,li jia na,lijaina,rejaina,rg'yynh,rjayna,ryjayna,Ρεγγίνα,Горад Рэджайна,Реджайнæ,Реджайна,Реџајна,Риджайна,רג'יינה,رجاینا,ريجاينا,ரெஜைனா,რეჯაინა,レジャイナ,里賈納,里贾纳,리자이나,50.45008,-104.6178,P,PPLA,CA,,11,,,,176183,,577,America/Regina,2010-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6119448,Renfrew,Renfrew,,45.46681,-76.68272,P,PPL,CA,,8,,,,8018,,128,America/Toronto,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6119518,Repentigny,Repentigny,,45.74222,-73.45008,P,PPL,CA,,10,14,,,76237,,10,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6121621,Revelstoke,Revelstoke,Revelstouk,YRV,ryfylstwk, kwlwmbya albrytanyt,Ревелстоук,ريفيلستوك، كولومبيا البريطانية,ریول سٹوک,50.98317,-118.2023,P,PPL,CA,,2,,,,7533,,439,America/Vancouver,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122037,Richelieu,Richelieu,,45.44336,-73.24602,P,PPL,CA,,10,16,,,5208,,29,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122085,Richmond,Richmond,Richmond,Richmund,Ricmondas,Ričmondas,lichimeondeu,lie zhi wen,ricamonda,ritchimondo,rytshmwnd, kwlwmbya albrytanyt,Ричмонд,Ричмънд,ريتشموند، كولومبيا البريطانية,رچمونڈ,ਰਿਚਮੋਂਡ,リッチモンド,列治文,리치먼드,49.17003,-123.13683,P,PPL,CA,,2,,,,182000,,9,America/Vancouver,2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122091,Richmond Hill,Richmond Hill,,43.87111,-79.43725,P,PPL,CA,,8,,,,185541,,232,America/Toronto,2012-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6125653,Roberval,Roberval,YRJ,48.5168,-72.23244,P,PPL,CA,,10,2,,,9287,,113,America/Montreal,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6126749,Rocky Mountain House,Rocky Mountain House,YRM,52.36683,-114.9188,P,PPL,CA,,1,,,,6527,,982,America/Edmonton,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6127681,Rosemère,Rosemere,,45.63338,-73.79919,P,PPL,CA,,10,15,,,14173,,29,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6128577,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,Ruehn-Noranda,Ruen-Noranda,Ruin Noranda,YUY,rwwan nwranda, kybk,rwyn-nwranda,Руен-Норанда,Руин Норанда,Руэн-Норанда,رووان نوراندا، كيبك,روین-نوراندا,48.23656,-79.02311,P,PPL,CA,,10,8,,,24023,,296,America/Montreal,2013-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137063,Sackville,Sackville,Sakvill,XKV,Саквилл,45.91875,-64.38455,P,PPL,CA,,4,,,,5411,,13,America/Moncton,2010-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137270,Saguenay,Saguenay,Sagene,Sagenej,Sagenė,Sagne,Saguenay,YBG,sa ge nai,saghynyh,sagune,Сагеней,Сагне,ساغينيه,サグネ,薩格奈,48.41675,-71.06573,P,PPL,CA,,10,2,,,143692,,84,America/Montreal,2013-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137489,Saint-Basile-le-Grand,Saint-Basile-le-Grand,,45.53338,-73.28246,P,PPL,CA,,10,16,,,15605,,13,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137540,Saint-Bruno-de-Montarville,Saint-Bruno-de-Montarville,,45.53341,-73.34916,P,PPL,CA,,10,,,,24388,,41,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137633,Saint-Constant,Saint-Constant,,45.36678,-73.56588,P,PPL,CA,,10,16,,,23957,,26,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137696,Sainte-Adèle,Sainte-Adele,Ste-Adele,Ste-Adèle,45.95008,-74.13251,P,PPL,CA,,10,15,,,10634,,246,America/Montreal,2013-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137702,Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,,46.05009,-74.28252,P,PPL,CA,,10,15,,,5706,,375,America/Montreal,2006-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137733,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,,45.40618,-73.9456,P,PPL,CA,,10,,,,5197,,34,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137749,Sainte-Anne-des-Monts,Sainte-Anne-des-Monts,,49.12402,-66.49243,P,PPL,CA,,10,11,,,5602,,15,America/Montreal,2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137753,Sainte-Anne-des-Plaines,Sainte-Anne-des-Plaines,,45.76468,-73.81156,P,PPL,CA,,10,15,,,10680,,67,America/Montreal,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137781,Sainte-Catherine,Sainte-Catherine,,46.31836,-72.56632,P,PPL,CA,,10,,,,16211,,10,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137941,Sainte-Julie,Sainte-Julie,,45.58338,-73.33246,P,PPL,CA,,10,16,,,29019,,37,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138032,Sainte-Marthe-sur-le-Lac,Sainte-Marthe-sur-le-Lac,,45.53338,-73.9325,P,PPL,CA,,10,15,,,11311,,35,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138121,Sainte-Thérèse,Sainte-Therese,,45.63922,-73.82757,P,PPL,CA,,10,15,,,25224,,36,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138175,Saint-Eustache,Saint-Eustache,,45.565,-73.90554,P,PPL,CA,,10,15,,,42062,,42,America/Montreal,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138201,Saint-Félicien,Saint-Felicien,,48.65007,-72.44906,P,PPL,CA,,10,2,,,8088,,111,America/Montreal,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138374,Saint-Hyacinthe,Saint-Hyacinthe,Gorad Sen-Iasent,Sankt-Giacint,Sen-Iasent,Sent Ijasent,Sent-Iasent,XIM,san hyasnt, kybk,sn-ayysnt, kbk,Горад Сен-Іасент,Санкт-Гиацинт,Сен-Иасент,Сент Ијасент,Сент-Іасент,سان هياسنت، كيبك,سن-اییسنت، کبک,45.63076,-72.95699,P,PPL,CA,,10,16,,,50326,,31,America/Montreal,2013-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138495,Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,Sen Zhan sir Rishele,Sen-Zhan-sjur-Rishel'e,YJN,san jan swr ryshlyw,sn-zhan-swr-ryshwlyw,Сен Жан сир Ришеље,Сен-Жан-сюр-Ришелье,سان جان سور ريشليو,سن-ژان-سور-ریشولیو,45.30713,-73.26259,P,PPL,CA,,10,16,,,71613,,30,America/Montreal,2013-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138501,Saint-Jérôme,Saint-Jerome,,45.78036,-74.00365,P,PPL,CA,,10,15,,,54948,,95,America/Montreal,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138517,Saint John,Saint John,Fanum Sancti Ioannis,Gorad Sent-Dzhon,Saint John,Saint-Jean,Sejnt Dzhon,Sent DZon,Sent-Dzhon,YSJ,seinteujon,senta jona,sentojon,sheng yue han,snt jan,Горад Сент-Джон,Сейнт Джон,Сент Џон,Сент-Джон,سنت جان,سینٹ جان,सेंट जॉन,სენტ-ჯონი,セントジョン,セント・ジョン,圣约翰,세인트존,45.27271,-66.06766,P,PPL,CA,,4,,,,87857,,5,America/Moncton,2013-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138599,Saint-Lambert,Saint-Lambert,,48.95272,-79.4593,P,PPL,CA,,10,8,,,21599,,301,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138610,Saint-Laurent,Saint-Laurent,Saint-Laurent,Sen-Loran,St Laurent,Ville Saint-Laurent,Ville St Laurent,Сен-Лоран,45.50008,-73.66585,P,PPLX,CA,,10,,,,77391,,41,America/Montreal,2010-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138617,Saint-Lazare,Saint-Lazare,,45.40008,-74.13256,P,PPL,CA,,10,16,,,17016,,56,America/Montreal,2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138625,Saint-Léonard,Saint-Leonard,,45.58773,-73.59501,P,PPLX,CA,,10,6,,,73423,,47,America/Montreal,2013-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138643,Saint-Lin-Laurentides,Saint-Lin-Laurentides,,45.85008,-73.76588,P,PPL,CA,,10,14,,,14159,,59,America/Montreal,2011-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138980,Saint-Raymond,Saint-Raymond,Saint-Raymond de Portneuf,45.46698,-73.60948,P,PPL,CA,,10,,,,9273,,50,America/Montreal,2013-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6139045,Saint-Sauveur,Saint-Sauveur,,45.88686,-74.17943,P,PPL,CA,,10,15,,,9191,,254,America/Montreal,2011-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6139289,Salaberry-de-Valleyfield,Salaberry-de-Valleyfield,,45.25008,-74.13253,P,PPL,CA,,10,16,,,38662,,46,America/Montreal,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6139416,Salmon Arm,Salmon Arm,Sehlmon-Arm,YSN,Сэлмон-Арм,50.6998,-119.30237,P,PPL,CA,,2,,,,16205,,347,America/Vancouver,2008-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6141190,Sarnia,Sarnia,Gorad Sarnija,Sarnia,Sarnija,YZR,carniya,sa ni ya shi,sania,sarnya,sarnya, awntaryw,Горад Сарнія,Сарния,Сарнија,Сарнія,سارنيا، أونتاريو,سارنیا,سارنیہ,சார்னியா,サーニア,薩尼亞市,42.97866,-82.40407,P,PPL,CA,,8,,,,82998,,185,America/Toronto,2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6141256,Saskatoon,Saskatoon,Gorad Saskatun,Saskatoon,Saskatoun,Saskatun,Saskatuna,Saskatunas,Saskatuno,Saskatūna,Saskatūnas,YXE,caskatun,sa si ka tong,saeseukeotun,saskatwn,sasukato~un,Σασκατούν,Горад Саскатун,Саскатун,ساسكاتون,ساسکاتون,சாஸ்கடூன்,სასკატუნი,サスカトゥーン,萨斯卡通,새스커툰,52.11679,-106.63452,P,PPL,CA,,11,,,,198958,,501,America/Regina,2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6141439,Sault Ste. Marie,Sault Ste. Marie,Sault Sainte Marie,Sault Ste. Marie,Sault-Sainte-Marie,Su Sent Mari,Su-Sen-Mari,YAM,su sent ma ri,su sheng ma li,suseinteumali,susentomari,sw saynt mary,Су Сент Мари,Су-Сен-Марі,سالٹ سٹی ماری,سو ساينت ماري,ซูเซนต์มารี,スーセントマリー,蘇聖瑪麗,수세인트마리,46.51677,-84.33325,P,PPLA2,CA,,8,5883638,,,74948,,186,America/Toronto,2013-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6143367,Sechelt,Sechelt,YHS,49.47512,-123.75903,P,PPL,CA,,2,5929,,,5977,,1,America/Vancouver,2013-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6144054,Selkirk,Selkirk,Selkirk,slkrk,Селкирк,Селкірк,سل کرک، مینی ٹوبا,سلکرک,50.1436,-96.88452,P,PPL,CA,,3,,,,9653,,227,America/Winnipeg,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6144312,Sept-Îles,Sept-Iles,Set Il,Set-Il',YZV,sat ayl, kybk,st-ayl, kbk,Сет Ил,Сет-Іль,Сет-Иль,سات إيل، كيبك,ست-ایل، کبک,50.20011,-66.38208,P,PPL,CA,,10,9,,,22582,,5,America/Montreal,2013-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145489,Shawinigan,Shawinigan,Shavinigan,XFL,shau~inigan,shawynyghan,Шавиниган,شاوينيغان,シャウィニガン,46.56675,-72.74913,P,PPL,CA,,10,4,,,49161,,123,America/Montreal,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6146143,Sherbrooke,Sherbrooke,Gorad Shehrbruk,Serbrukas,Sherbruk,YSC,she bu lu ke,sheruburukku,shrbrwk,shyrbrwk,Šerbrukas,Горад Шэрбрук,Шербрук,شربروک,شيربروك,შერბრუკი,シェルブルック,舍布魯克,45.40008,-71.89908,P,PPL,CA,,10,5,,,129447,,175,America/Montreal,2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6146279,Sherwood Park,Sherwood Park,Shervud Park,Шервуд Парк,53.51684,-113.3187,P,PPL,CA,,1,,,,55063,729,722,America/Edmonton,2007-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
